IDENTIFIER,SCORE
DecenInd,N2
Deciduous,N1
Decimals,N1
DeciPlace,N2
decision,N1
DeclCntry,N2
DeclCurr,N2
DeclDept,N2
DeclDescr,N2
DeclNoEx,N2
DeclNum,N2
DecLoc,N2
DeclPeriod,N2
Declration,N2
DeclRowNo,N2
DeclSerNo,N2
DeclStat,N2
DeclType,N2
decor,N1
Decoration_Theme,N1
DecrAcct,N2
DecreasAc,N2
DecresGlAc,N3
DecSep,N2
DecVal,N2
DedctSumFC,N2
DedctSumSC,N2
Deduct,N1
Deduction,N1
DeductPaid,N1
DeductPer,N2
DeductSum,N1
DeductTax,N1
DedVatSum,N2
DedVatSumF,N2
DedVatSumS,N2
DefAcct,N2
Default,N1
DefaultCur,N2
DefaultNum,N2
DefaultORL,N2
Defaults,N1
DefaultVal,N2
DefBreak,N2
DefCommDay,N2
DefCommDDt,N2
DefCommMon,N2
defenceAggression,N1
defenceAggressionClass,N1
defenceDefenderLineClass,N1
defencePressure,N1
defencePressureClass,N1
defenceTeamWidth,N1
defenceTeamWidthClass,N1
defensive_work_rate,N1
DeferedTax,N2
DeferrAcc,N2
DeferrAcct,N2
DeferrTax,N2
DeferTaxIn,N2
DefESeries,N2
DefFilter,N2
DefinedQty,N2
definition,N1
DefirDemop,N2
DefirExpP,N3
DefLengthU,N2
DEFLT_REP,N3
DEFLT_SEQ,N3
DefTaxOnly,N2
defTaxVend,N2
DefValue,N2
DefWeightU,N2
degree_program_id,N1
degree_summary_description,N1
degree_summary_name,N1
Degrees,N1
DelContent,N2
Delegate,N1
Deleted,N1
Delim,N2
DeList,N1
DELISTED_REASON,N1
DeliStrtg,N2
Deliverd,N1
Delivered,N1
delivery,N1
delivery_date,N1
delivery_status_code,N1
deliveryNo,N1
DelivrdQty,N2
DelNonReco,N2
DelReason,N1
Delta,N1
DeltaAccT,N2
DeltaCoeff,N2
DeltaDays,N1
DeltaGP,N2
DeltaGPLn,N3
DeltaLevel,N1
Denomination,N1
Density,N1
Density_ID,N1
Department,N1
department_description,N1
Department_ID,N1
department_name,N1
DepartmentID,N1
departure_date,N1
DepCancel,N2
Dependent_name,N1
DeployDate,N1
DEPLOYEVENT,N1
DeployTime,N1
DepName,N2
DepNo,N2
DepNorm,N2
DepNum,N2
DepNum2,N2
DeposAcct,N2
DeposBrnch,N2
DeposCurr,N2
DeposDate,N2
DeposId,N2
Deposited,N1
DepositId,N1
DepositNum,N1
DepositTyp,N2
DeposNum,N2
DepostNorm,N2
DeposType,N2
DeprecCalc,N2
DeprEndLFY,N3
DeprGroup,N2
DeprMethod,N2
dept,N2
DEPT_ADDRESS,N2
DEPT_CODE,N2
DEPT_EXTENSION,N2
DEPT_NAME,N2
dept_store_chain_id,N2
dept_store_chain_name,N2
dept_store_id,N2
derived_product_cost,N1
derived_total_cost,N1
derived_vat_payable,N2
Desc,N3
DescCompAj,N2
DescField,N2
DescOW,N3
Descr,N2
Descrip,N2
Descript,N2
descriptio,N2
Description,N1
Descriptn,N2
descrption,N1
DescStr,N2
Designation_Level,N1
Designation_Name,N1
DesiredSummaryName,N1
dest,N2
DestAbs,N2
DestAirport,N2
DestArr,N2
DestDBName,N2
DestDBPath,N2
DestID,N2
destination,N1
DestinationMarket,N1
DestinationMarketId,N1
DestItemTypeID,N2
DestLine,N2
DestPath,N2
DestRegCry,N2
Destroyed_by_Employee_ID,N1
Destruction_Authorised_by_Employee_ID,N1
DestType,N2
DestUser,N2
Details,N1
DetailsOW,N2
DetailType,N1
Detection,N1
Detection_ID,N1
detention_id,N1
detention_summary,N1
detention_type_code,N1
detention_type_description,N1
DevBAOwner,N2
Device,N1
Device_ID,N1
DeviceType,N1
DfActCurr,N2
dFactor,N2
DfBrnchPh,N3
DfCustTerm,N2
DfDateFct,N3
DfDateUnit,N2
DflAccount,N2
DflAcct,N3
DflAgrmnt,N3
DflBankKey,N2
DflBCACode,N2
DflBnkAcct,N3
DflBnkAcKy,N3
DflBnkCode,N2
DflBnkKey,N2
DflBranch,N2
DflCrCard,N3
DflCust,N3
DflCustomr,N3
DflDSerie,N2
DflFTPSite,N3
DflIBAN,N3
DflInPrcss,N3
DflIntrst,N3
DflJET,N3
DflPosCR,N3
DflPTICode,N2
DflPtiFCE,N3
DflSeries,N2
DflSwift,N3
Dflt,N3
DfltAcct,N3
DfltActKey,N2
DflTaxCode,N2
DfltBPL,N3
DfltBranch,N2
DfltByEml,N3
DfltCard,N2
DfltCDP,N3
DfltCDPV,N3
DfltCustPL,N3
DfltCustPM,N3
DfltDate,N2
DfltDunTrm,N3
DfltExpn,N3
DfltIncom,N3
DfltInCstm,N3
DfltLoss,N2
DfltPLSel,N3
DfltProfit,N2
DfltRateDi,N2
DfltReport,N2
DfltResWhs,N3
DfltSeq,N2
DfltSeries,N2
DfltsGroup,N2
DfltSlp,N3
DfltTax,N2
DfltVat,N3
DfltVendPL,N3
DfltVendPM,N3
DfltWH,N3
DfltWhs,N3
DflVendor,N2
DflWebSite,N2
DflWhs,N3
DflWTS,N3
DfPVatExmp,N3
DfPVatItem,N3
DfPVatServ,N3
DfSVatExG,N3
DfSVatExL,N3
DfSVatExmp,N3
DfSVatItem,N3
DfSVatServ,N3
DftApCode,N3
DftArCode,N3
DftBinAbs,N3
DftBinEnfd,N3
DfTcnician,N2
DftJPELine,N3
DftName,N2
DftPLChk,N3
DftPVL,N3
DftRCN,N3
DftResWhs,N3
DftStockOB,N2
DftValue,N2
DftVrnt,N3
DFType,N2
DfVendTerm,N2
diagram_id,N1
did,N3
DiExpoCont,N2
DiffAmnt,N2
DiffCurr,N2
Difference,N1
Differnce,N2
DiffPercen,N2
DiffPercnt,N2
DiffQty,N2
DifType,N2
DigCrtPath,N2
Dim1Relvnt,N2
Dim2Relvnt,N2
Dim3Relvnt,N2
Dim4Relvnt,N2
Dim5Relvnt,N2
DimActive,N2
DimCode,N2
DimDesc,N2
dimensions,N1
DimName,N2
DIOTNat,N3
DIOTRpt,N3
DIOTRptTyp,N3
diploma,N1
Direct,N1
directCsmr,N2
DIRECTD,N3
DirectDbt,N2
DirectDpr,N2
Directed_by,N1
DirectImp,N2
Direction,N1
Directions,N1
DIRECTL,N3
DIRECTLOCATION,N1
Director,N1
DirectRate,N1
DIRECTWIDTH,N1
DirfDeclar,N2
DirRevPost,N2
Disabled,N1
DisabledBP,N2
DiscAmnt,N2
DiscAmount,N2
DiscCode,N2
DiscDate,N2
DiscInRet,N2
Discipline,N1
DISCOUNT,N1
Discounts,N1
DiscPrcnt,N2
DiscRate,N2
DiscRel,N2
DiscSum,N2
DiscSumFC,N2
DiscSumSy,N2
DisctLine,N2
DiscType,N2
DiscVatAmt,N2
Dismissed,N1
DispComma,N2
DispCtInBP,N3
DispCurr,N2
DispDesc,N2
DispItem,N2
DisplacementCC,N2
DisplacementCI,N2
DisplacementL,N2
Display,N1
DisplInact,N2
DisplInCal,N2
DisplyMenu,N2
DispMidNam,N2
DispName,N2
DispOBCB,N3
DispOrder,N2
disposition_of_ship,N1
DispPosDeb,N2
DispTrByDf,N3
DisQikView,N2
DisSelItem,N2
DistAmnt,N2
Distance,N1
DistLstCod,N2
DistNumber,N1
DISTRACT,N2
DISTRACTN,N2
DistrbMthd,N2
DistribExp,N2
DistribIS,N2
DistribM,N2
DistribSum,N2
distributer_id,N1
District,N1
District_ID,N1
District_name,N1
DistriRule,N2
div_id,N2
div_win,N2
divergence_from_human_lineage,N1
DivergenceFlag,N1
Division,N1
DKeyId,N2
DllDesp,N2
DllEntry,N2
DllName,N2
DllPath,N2
DlnLimit,N2
Dlocation,N2
DlvrInvocs,N2
DlvrNotes,N2
dlvryDate,N2
DlvryIdNo,N2
DmcAlias,N3
DmcId,N3
DME,N3
DmePath,N2
DmpTransID,N2
DName,N2
DnDrainCount,N2
DNFCode,N2
DNFEntry,N2
DNFFactor,N2
DNFUoM,N3
DnLevel,N2
DnLevelPathID,N2
DnMinHydroSeq,N2
DNO,N3
DNoteBalFC,N3
DNoteBalSy,N3
DNotesBal,N3
DnOvrwrAtc,N3
Dnum,N3
Dnumber,N2
dob,N2
DoBudget,N2
Doc1LineNo,N2
Doc1Type,N2
Doc2Type,N2
Doc3Type,N2
Doc4Type,N2
Doc5Type,N2
DocAbs,N2
DocAction,N2
DocAlias,N2
DocAmLm,N2
DocAmntFC,N3
DocAmntLC,N3
DocAmount,N2
DocArr,N2
DocBillDt,N2
DocBtch,N2
DocBtchLn,N3
DocChkbox,N2
DocClsDate,N2
DocCode,N2
DocContent,N2
DocCount,N2
DocCur,N2
DocCurr,N2
DocCurrCod,N2
DocDate,N2
DocDespt,N2
DocDiscSum,N2
DocDlvry,N2
DocDraft,N2
DocDueDate,N2
DocEntry,N2
DocExpense,N2
DocFrDate,N2
DocFunc,N2
DocId,N2
dock_count,N1
Docking,N1
docks_available,N1
DocLine,N2
DocLineNum,N2
DocLocCurr,N2
DocManClsd,N2
DocName,N2
DocNmMtd,N2
DocNum,N2
DocNumber,N2
DocNumType,N2
DocObjType,N2
DocOrdNum,N2
DocOrigin,N2
DocPrcCurr,N2
DocPrcRate,N2
DocPrice,N2
DocPrmTerm,N2
DocPstDate,N2
DocPymRef,N3
DocQtLm,N3
DocQty,N2
DocRate,N2
DocRemarks,N2
DocRound,N2
Docs,N2
DocsData,N2
DocSeries,N2
DocStatus,N2
DocSubType,N2
DocTax,N2
DocTaxAmnt,N2
DocTaxID,N2
DocText,N2
DocTime,N2
DocToDate,N2
DocTot,N2
DocTotal,N2
DocTotalFC,N2
DocTotalSy,N2
DocTransId,N2
DocTypDesc,N2
DocType,N2
DocTypeIn,N2
document_code,N1
Document_Date,N1
Document_Description,N1
Document_Details,N1
Document_ID,N1
Document_Name,N1
document_status_code,N1
document_status_description,N1
document_structure_code,N1
document_structure_description,N1
Document_Type_Code,N1
Document_Type_Description,N1
Document_Type_Name,N1
Documentation,N1
DocVer,N2
DOffDecAcc,N3
DOffDecVal,N3
DoFilter,N1
dog_id,N1
DoJoin,N1
DomainUser,N1
Domestic_Passengers,N1
DomFrgID,N3
DoMngMth,N3
donator_name,N1
DoorsCount,N1
DOORSILLDIFF,N2
DoReport,N1
dorm_name,N1
dormid,N2
Dose,N1
DotAsSep,N3
double,N1
Doubles_WL,N2
DoumntDode,N3
DoxTxAmtFC,N3
DoYearSum,N1
dp,N3
DpApplDct,N3
DpApplDctF,N3
DpApplDctS,N3
DpApplEq,N3
DpApplEqFc,N3
DpApplEqSc,N3
DpApplGrs,N3
DpApplGrsF,N3
DpApplGrsS,N3
DpApplNet,N3
DpApplNetF,N3
DpApplNetS,N3
DpApplRvs,N3
DpApplRvsF,N3
DpApplRvsS,N3
DpApplVat,N3
DpApplVatF,N3
DpApplVatS,N3
DpDtDlvryP,N3
dPercent,N2
DPhone,N2
dpi,N3
DPIInvoice,N2
DPIRequest,N2
DpmAffTot,N3
DpmAmnt,N3
DpmAmntFC,N3
DpmAmntSC,N3
DpmAppl,N3
DpmApplFc,N3
DpmApplSc,N3
DpmAppVat,N3
DpmAppVatF,N3
DpmAppVatS,N3
DpmAsDscnt,N3
DpmClear,N2
DpmDocEntr,N2
DpmDocNum,N2
DpmDrawn,N2
DpmIntAct,N3
DpmObjType,N2
DpmPosted,N3
DpmPrcnt,N3
DpmPurAct,N3
DpmSalAct,N3
DpmStatus,N2
DpmTaxOAcc,N3
DpmVat,N3
DpmVatFc,N3
DpmVatSc,N3
DpmWTApl,N3
DpmWTAplFC,N3
DpmWTAplSC,N3
DPOInvoice,N3
DPORequest,N2
DpostorNam,N2
DPPStatus,N2
DprArea,N2
DprAreaID,N2
DprDate,N2
DprEnd,N2
DprId,N3
DPrinter,N2
DprMeth,N3
DprPer,N3
DprSt,N3
DprStart,N2
DprTo,N2
DprType,N2
DprTypeC,N3
DprTypID,N2
DpsActKey,N2
DpsBank,N2
DpsBankCod,N2
DpsBnkActF,N3
DpsBnkActT,N3
DpsChk,N3
DpsCntrCod,N2
DpsitPrcnt,N2
DpstAbs,N3
DpstAcct,N2
DpstBranch,N2
DpstFrom,N2
DpstTo,N2
DpstType,N2
DpsVouch,N2
DptDateGIP,N3
DptTime,N2
Draft_Class,N1
draft_details,N1
draft_number,N1
Draft_Pick_Number,N1
DraftEntry,N1
draftKey,N1
DraftNote,N1
DraftType,N1
draw_size,N1
DrawnFC,N2
DrawnLC,N2
DrawnSC,N2
DrawnSum,N2
DrawnSumFc,N2
DrawnSumSc,N2
DrawnTotal,N1
DrawSReg,N2
DRBlock1,N3
DRBlock2,N3
DRBlock3,N3
DRBlock4,N3
DRBlock5,N3
drctCsmNam,N3
DrfWObjAbs,N3
DRGINV,N3
dribbling,N1
DriDownBOM,N2
Drink,N1
driver_employee_id,N1
Driver_ID,N1
driverId,N1
driverRef,N2
driverStandingsId,N1
DriveType,N1
DriveTypeId,N1
DrNo,N2
DropShip,N1
DRPRESENT,N2
DRUGTEST,N1
DrvdArea,N2
DRVWHEELS,N2
DsbEntry,N2
DsbrdEntry,N2
Dsc,N3
DSC_GUID,N3
DscDueDate,N2
DscntAcct,N2
DscntLimit,N2
DscntObjct,N2
DscntRel,N2
DscountBOE,N3
DscountCod,N2
Dscription,N2
Dscrptn,N3
DsmDueDate,N2
DspBokpWin,N3
DspBUoM,N3
DspFrznBP,N3
DspFrznITM,N3
DspIBPDoc,N3
DspIITMDoc,N3
DsplID,N2
DsplyRates,N2
DspNMass,N3
DspOpnItms,N3
dst_ap,N3
dst_apid,N3
DstPercent,N2
DstrbSumFC,N3
DstrbSumSC,N3
DstRegCry,N2
DstRegSta,N2
DstRlSmarz,N3
DstState,N2
DtblAmount,N2
DtblCurr,N2
DtblRate,N2
DtDoc,N3
DtPgto,N3
DtSorting,N2
DtVcto,N3
DTWPath,N2
dType,N2
DueBal,N2
DueBalFC,N2
DueBalSys,N2
DueCheck,N1
DueDate,N1
DueMonth,N1
DueTerms,N1
DueTime,N1
Dummy,N1
DummySig,N2
DunAddr,N2
DunDate,N2
DunFee,N2
DunIntrst,N2
DunLevel,N2
DunnDate,N2
DunningCod,N2
DunnLevel,N2
DunTerm,N2
DunTime,N2
DunWizBlck,N2
DupRpttAre,N3
DuraDays,N2
DuraHours,N2
Duration,N1
DurType,N2
DutyStatus,N1
DVANGOTH,N3
DVANGTHIS,N3
DVBARRIER,N3
DVBASIS,N2
DVBES,N3
DVCONF,N2
DVENERGY,N2
DVEST,N3
DVESTIMATE,N3
DVEVENT,N2
DVLAT,N3
DVLONG,N3
DVMOMENT,N2
DVRANK,N3
DVSPEED,N2
DVTOTAL,N2
DynamicBrakeSupport,N1
DynamicBrakeSupportId,N1
e,N3
E_Mail,N2
E_MailL,N3
E_P_0,N3
E_P_5,N3
EAEU,N3
Earnings,N1
EBCateCode,N2
EBCateDesc,N2
EBCausCode,N2
EBCausDesc,N2
EBookable,N1
EbookRelvt,N2
EBSTmpl,N3
EBTax,N3
eBuildnNum,N2
EBVatCateg,N3
EBVatExCau,N3
EBWTaxCate,N2
ECCNo,N3
ECDFormat,N2
ECDPosTyp,N3
ECExepnses,N3
ECExpAcc,N3
ECheck,N2
ECInAcct,N3
ECIncome,N2
eCityTown,N2
Eco_Notes,N2
eCode,N1
EComerGSTN,N3
ECommerBP,N3
EconActT,N2
eCountry,N1
Ectoparasites,N1
ECVatGroup,N2
EDelDocFrm,N2
EDFCode,N2
EDFormat,N2
EDG_SPECIES_FLAG,N2
EDGEDISTX,N2
EDGEDISTY,N2
EDGEDISTZ,N2
Edispl,N3
eDistrict,N1
Editable,N1
EditbleCtl,N2
EditInEXP,N2
EditInForm,N1
EditInGrid,N1
Editor_ID,N1
EditSize,N1
EditType,N1
EDocCancel,N2
EDocCntnt,N2
EDocDflt,N3
EDocEntry,N2
EDocErrCod,N2
EDocErrMsg,N2
EDocExpFrm,N2
EDocGenTyp,N2
EDocMapID,N2
EDocNum,N2
EDocPass,N2
EDocPmnFmt,N3
EDocPrefix,N2
EDocProces,N2
EDocRptFmt,N2
EDocSEMail,N2
EDocSName,N2
EDocStatus,N2
EDocTest,N2
EDocType,N2
EDocUDQCat,N3
EDocURL1,N2
EDocURL2,N2
EDocWSFrm,N3
EDProcess,N2
EDREVENTNO,N2
EDRMETHOD,N2
EDROBTAINED,N2
EdrsFromBP,N3
EdrsToBP,N3
EDRSUMMNO,N2
EDTestMode,N2
edType,N2
EDunLevel,N2
EfctDate,N2
EfctFrom,N3
EfctivRate,N2
EfctTo,N3
EffcAllSrc,N3
EffctAftr,N2
EffecDate,N2
EffecFrom,N2
EffecPrice,N2
EffectDate,N2
EffectHr,N2
Effective_Date,N1
EffectQty,N2
EffectTm,N2
EFFORT,N1
EffPriDisc,N2
EFParams,N2
EFRetry,N2
eFRTActLvs,N3
eg_Agree_Objectives,
EGroup,N2
EID,N3
EIRN,N3
EJECTAREA,N2
EJECTMED,N2
EJECTMEDSTAT,N2
EJECTNO,N2
EJECTTYPE,N2
ElCoMsg,N2
ElCoStatus,N2
ElDigiCert,N2
Election_Cycle,N1
Election_ID,N1
electoral_register_id,N1
ElectrDocs,N2
ElectronicStabilityControl,N1
ElectronicStabilityControlId,N1
ElecUID,N2
elementId,N1
elementNum,N2
ElementType,N1
Elevation,N1
ElgAmnt,N3
ElGoodsFmt,N2
Eliminated_By,N1
Elimination_ID,N1
Elimination_Move,N1
ElInvFmt,N2
ELSersCncl,N3
ELSersFin,N3
ElSersReg,N3
Email,N1
Email_Address,N1
EMailAddr,N2
EmailAddress,N1
EmailBody,N1
EmailFont,N1
EMailGIP,N2
EmailOnAdd,N1
EmailSbj,N2
EmailSig,N2
EmFOffset,N2
EmlGrpCode,N2
EmlGrpName,N2
EMP_DOB,N2
EMP_FNAME,N2
EMP_HIREDATE,N2
EMP_INITIAL,N2
EMP_JOBCODE,N2
EMP_LNAME,N2
EMP_NUM,N2
empCostCur,N2
empCostUnt,N2
EmpeSSCntr,N2
empID,N2
emplCost,N2
EMPLOYEE,N1
employee_address_id,N1
employee_id,N1
employee_name,N1
employee_phone,N1
EmployeeId,N1
employer,N1
employer_organisation_id,N1
EmployerRf,N2
EmplymntCt,N2
EmpName,N2
EmpNo,N2
EmprSSCntr,N3
EmptCtCod,N3
EmptCtDes,N3
EmpType,
EmptyPKL,N2
EMSAGENCY,N2
EMSCARE,N2
EMSDATA,N2
EMSDIASTOLIC,N2
EMSGCS,N3
EMSGCSEYE,N3
EMSGCSLOC,N3
EMSGCSMOD,N3
EMSGCSMOTOR,N3
EMSGCSTIME,N3
EMSGCSVERB,N3
EMSMODE,N2
EMSNO,N2
EMSPULSE,N2
EMSRESPRATE,N2
EMSSYSTOLIC,N2
EMSTYPE,N2
EMSVITALSRC,N2
EMSVITALTIME,N2
EmTaxCCode,N2
Enable,N1
EnableAsyN,N2
EnableBOE,N2
Enabled,N1
EnableEWB,N2
EnableFlag,N1
EnableGDPR,N2
EnableIST,N2
EnableMTD,N2
EnablePTn,N2
EnableRO,N2
EnableRun,N1
EnableSMS,N2
EnableTn,N2
EnableUpd,N2
EnableWHT,N2
EnAccount,N2
EnAcctNum,N2
EnActDura,N2
EnAddID,N2
EnAPWTLnMX,N3
EnARWTLnMX,N3
EnAstSeri,N3
EnAuthUpt,N3
EnAutoRsz,N3
EnbAdvATP,N3
EnbApprDI,N3
EnbApUpDft,N3
EnbApUpDoc,N3
EnbDecWord,N3
EnbDocOpt,N3
EnbDunning,N2
EnbEAInv,N3
EnbEASer,N3
EnbEATrns,N3
EnbFedTax,N3
EnbInItINC,N3
EnbInItIQI,N3
EnblActCrC,N3
EnblACTRep,N3
EnblActTtl,N3
EnblAssVal,N3
EnblBaseUn,N3
EnblBPConn,N3
EnblCARepo,N2
EnblCase,N2
EnblClsPr,N3
EnblCorAct,N2
EnblCorINV,N3
EnblCounty,N2
EnblCshDsc,N3
EnblCshRep,N3
EnblCurDec,N3
EnblDays,N2
EnblDctSrc,N3
EnblDefInx,N3
EnblDfrTax,N3
EnblDocSbT,N3
EnblDocWrn,N3
EnblDoubt,N2
EnblDownP,N2
EnblDpmJdt,N3
EnblDpmTax,N3
EnblECAct,N3
EnblECRpt,N3
EnblEquVat,N3
EnblExpns,N3
EnblExREnh,N3
EnblFAsset,N2
EnblFolio,N2
EnblFrnAct,N3
EnblFromTo,N2
EnblFTZ,N3
EnblGLManP,N3
EnblIndic,N3
EnblIndxOp,N2
EnblInfla,N3
EnblIRTRep,N3
EnblLATaxS,N3
EnblLAWHT,N3
EnblLC,N3
EnblLostCD,N3
EnblMatRev,N3
EnblMBPRec,N3
EnblMxComm,N3
EnblNDdctC,N3
EnblOnPDCh,N3
EnblOnWnCr,N3
EnblOptVIP,N3
EnblPayMtd,N3
EnblPCHUpd,N3
EnblPrVatS,N3
EnblRCN,N3
EnblRealRD,N3
EnblRound,N2
EnblRsvINV,N3
EnblRTDnld,N3
EnblRtrRep,N3
EnblRTWHT,N3
EnblRuDIP,N3
EnblRunDt,N3
EnblSbtCVo,N3
EnblSlfPCH,N3
EnblSPEDUF,N3
EnblSrvTax,N3
EnblStAgRp,N3
EnblTaxEL,N3
EnblTaxInv,N3
EnblTrnRep,N3
EnblTtlEgD,N3
EnblUpdUDF,N3
EnblVATAna,N3
EnblVATDat,N3
EnblVatGrp,N3
EnblVPMRep,N3
EnblVTGNoD,N3
EnblVTGPmn,N3
EnblYrTrns,N3
EnbMBFilt,N3
EnbMenuFlt,N2
EnbNegDoc,N2
EnbNegPym,N3
EnBnkAcct,N2
EnBnkAct,N2
EnBnkIBan,N2
EnBnkStmnt,N2
EnbPayRef,N2
EnBPBnkAct,N3
EnBPIBAN,N3
EnbQtyEDln,N3
EnbRepomo,N3
EnbSgmnAct,N3
EnbSupplC,N3
EnbUQAudit,N2
EnbZeroDec,N2
Encoding,N1
EncryptIV,N2
EncryptVal,N2
END,N1
end_date,N1
end_hr,N2
end_min,N2
end_station_id,N1
end_station_name,N1
End_Time,N1
EndAt,N1
endBalanc,N2
EndBlncF,N2
EndBlncL,N2
EndCounter,N1
EndDate,N1
EndDlvDate,N2
EndDlvTime,N2
EndField,N2
EnDflAccnt,N2
EnDflIBAN,N3
EndingDate,N1
EndOpDate,N2
EndorsChNo,N2
Endorse,N1
endowment_id,N1
ENDSHIFT,N1
EndStr,N2
EndTime,N1
EndTotal,N1
EndType,N1
EnEditTime,N2
EnERD4In,N3
EnERD4Out,N3
EnExtTax,N3
EnfBinFltr,N3
EnFollowup,N2
ENG_CYL,N3
ENG_DISP,N3
EngineBrakeHP_from,N2
EngineBrakeHP_to,N2
EngineConfiguration,N1
EngineConfigurationId,N1
EngineCoolingType,N1
EngineCoolingTypeId,N1
EngineCylindersCount,N1
EngineElectrificationLevel,N1
EngineElectrificationLevelId,N1
engineer_id,N1
engineer_visit_id,N1
EngineManufacturer,N1
EngineModel,N1
EnginePowerKW,N2
EngineStrokeCycles,N1
EngineTurbo,N1
EngineTurboId,N1
EngineValveTrainDesign,N1
EngineValveTrainDesignId,N1
EngKBCard,N2
EngKBItem,N2
EnGovID,N2
EnIBAN,N3
EnInsurNum,N2
Enitemcost,N2
EnMlBrkInv,N3
EnMutiBP,N3
EnOposAct,N3
EnOwnerId,N2
EnPacking,N2
EnPassport,N2
EnPayToAct,N2
EnPBnkAcct,N3
EnPriceMod,N2
enr,N3
EnReject,N2
EnResign,N2
EnRligion,N2
EnRligionP,N2
ENROLL_GRADE,N2
Enrollment,N1
EnSetCost,N2
EnSign,N2
EnStarRat,N2
EnterAsTab,N2
EnterDate,N1
ENTERED,N2
Entered_by,N1
Entered_date,N1
EnteredBy,N1
EnteredDate,N1
EntertainmentSystem,N1
EntertainmentSystemId,N1
EnterTime,N1
EntIdCode,N2
Entire_Extent_of_ORW,N2
Entity_ID,N1
ENTRAP,N2
Entrepreneur_ID,N1
Entry,N2
EntryCncSt,N2
EntryCount,N1
EntryStats,N2
EntryTreeI,N2
EntryTypes,N2
Enum_Code,N2
Enum_Description,N2
Enum_Group,N2
EnUpdBAPln,N3
EnUpdBpAdr,N3
EnvTypeNFe,N2
enzyme_id,N1
EOPBalance,N2
EORINumber,N2
EOutputPth,N2
EPA_ADDED,N2
EPA_DELISTED_COMMENTS,N2
EPA_DELISTED_DATE,N2
EPaLTmpl,N3
EPE,N3
EphemTax,N3
EphemTaxScM,N3
Episode,N1
EPTnoHBPct,N3
EPTnoHBPctScLV,N3
EPTPct,N3
EPTPctScM,N3
EPTTax,N3
EPTTaxScP,N3
EqPaid,N2
EqPaidFC,N2
EqPaidSC,N2
EqPercent,N2
EqSum,N2
EqSumFC,N2
EqSumSC,N2
EqTaxAcct,N2
Equ,N3
EquAccount,N2
EQUIP,N2
EquipNo,N2
EquVatPer,N3
EquVatPr,N3
EquVatRate,N2
EquVatSum,N2
EquVatSumF,N3
EquVatSumS,N3
er,N3
era,N3
EraName,N1
ERDInAPAct,N3
ERDInARAct,N3
ErdIncMode,N2
ErdOutMode,N2
EReportId,N2
ErnId,N2
ErnYr,N3
ERpPerType,N2
ErrAct,N2
ErrCode,N2
ErrDisc,N2
ErrLevel,N2
ErrMessage,N2
ERROR_CODE,N1
ErrorCode,N1
ErrorCount,N1
ErrorDescr,N2
ErrorID,N1
ErrorLine,N1
ErrorMsg,N2
ErrorNum,N2
Errors,N1
ErrorStr,N2
ErrorType,N1
ErrReason,N2
ErrScreen,N2
ESEnabled,N2
ESeries,N2
Essn,N3
Est_H_Error,N3
EstHError,N3
Estimation_ID,N1
eStreet,N1
eStreetNum,N2
EstVError,N2
ETHNICITY,N1
ETRFaxNo,N2
ETRMgrPhn,N3
ETRPhoneNo,N2
ETRTaxOffi,N3
ETRTaxPers,N3
EUExpensAc,N2
EuInTrnsfr,N3
EULADoc,N3
EULAFormat,N2
EULAType,N2
EUPayAct,N2
EURecvAct,N2
EURepSqntl,N3
EURevenuAc,N2
EvaGrp,N3
EvalGrp,N2
EvalSign,N2
EvalSystem,N2
EVatCate,N3
EVDriveUnit,N2
EVDriveUnitId,N2
Event_Attendance,N1
Event_Date,N1
Event_Details,N1
Event_Details_ID,N1
Event_ID,N1
Event_Name,N1
Event_Notes,N1
Event_Type_Code,N1
EVENT1TO2,N3
EventDataRecorder,N1
EventDataRecorderId,N1
EventDate,N1
EVENTDESC,N2
EventDetls,N2
EventID,N1
EventName,N1
EventNameOld,N1
EVENTNO,N2
EventOffset,N1
EventOrder,N1
EventQAQCComment,N2
EventQAQCRecordID,N2
EVENTS,N1
EventTime,N1
EventType,N1
Evergreen,N1
Every,N1
EVIDENCE,N1
Evidence_Code,N1
EvtNotify,N2
EWayBillNo,N2
EwbDate,N2
EWBGenType,N2
EwbUnit,N2
EWtAmount,N2
EWtPercCat,N3
ExaminationRoom,N1
ExBPFrom,N3
ExBPTo,N3
ExcAmntAdV,N3
ExcAmntUoM,N3
ExcBasAmnt,N2
ExcBasSum,N2
ExcDocDate,N2
ExcdTransc,N2
ExcElDoc,N2
ExcelPath,N1
ExcFixAmnt,N2
ExcFonting,N2
ExcFrmTaxS,N3
ExchangeAc,N2
ExchDiff,N2
ExchgRate,N2
ExchngRate,N2
ExchRate,N2
ExciAlcAcc,N3
ExciExpAcc,N3
ExcImpQty,N3
ExcImpQUoM,N3
ExcInStk,N3
Excisable,N1
ExciseAmt,N2
Excised,N1
ExciseSum,N1
ExciseUoM,N2
ExcisSumFC,N3
ExcisSumSC,N3
ExClassCat,N2
ExClassTyp,N2
ExcldZrQty,N3
ExclTaxRep,N3
ExcludeWT,N2
ExcNInvItm,N2
ExcptnlEvt,N2
ExcRate,N2
ExcRateAct,N2
ExcRateAdV,N2
ExcRateUoM,N3
ExcRefDate,N2
ExcRmvTime,N2
ExCustomFC,N3
ExCustomSC,N3
ExDiffAct,N3
ExeByServ,N3
ExecDate,N2
