text,category,label
LinePoPrss,N2,1
ELINVFMT,N2,1
currcost,N2,1
sumbydistr,N2,1
Log,N1,0
ORDEREDQTY,N1,0
TRAP #,N1,0
ANN3,N3,2
PrefVendor,N2,1
FinishUser,N1,0
EMSCARE,N2,1
Assessee,N1,0
mnyval3,N3,2
totalexpfc,N2,1
MGMTPRIORITYDETAILS,N2,1
BOPBALANCE,N2,1
BIOD_ENTRY,N2,1
Object,N2,1
Next,N1,0
map,N1,0
date_added,N1,0
PrimaryKey,N1,0
ratedifact,N2,1
tdsapplfc,N3,2
enbrepomo,N3,2
tblfinm,N3,2
qname,N2,1
instrdespt,N2,1
WBDHU10_Shape_Index,N2,1
AttriAm48,N3,2
line_3,N1,0
EnblVatGrp,N3,2
prevActvty,N2,1
FIELD1,N2,1
CostSumFC,N2,1
trackno,N1,0
EDTESTMODE,N2,1
card_id,N1,0
StrtBlncL,N3,2
SAMPLE_COLLECTION_PROCEDURE ID,N1,0
MinUppers,N2,1
default,N1,0
Value1,N1,0
Head,N1,0
NFENOFROM,N3,2
EFFECTHR,N2,1
OP_24,N3,2
nhdlinec_shape_index,N2,1
spnenabled,N2,1
Problems,N1,0
ExpVatSumF,N3,2
mrkrred,N2,1
CntrcType,N2,1
OnLedger,N1,0
section_description,N1,0
SEENDDAT,N3,2
SOINUM,N3,2
QryGroup11,N2,1
ISVALIDKEY,N1,0
VALIDUNTIL,N1,0
DWZ1,N3,2
checkdigit,N1,0
cpv6,N3,2
user_id,N1,0
OrgNumber,N2,1
boxtype,N1,0
LEVEL,N1,0
OP_8,N3,2
OPFS,N3,2
InvntSystm,N2,1
ASSET_MODEL,N1,0
KEYVALUE1,N1,0
claims_processing_stages,N1,0
ispublic,N1,0
chkindate,N2,1
RESTORED_REASON,N1,0
submission,N1,0
LANECENTERINGASSISTANCEID,N1,0
PackagType,N1,0
CLNTQRYGRP,N3,2
ConfDate2,N2,1
COORD_SYST,N2,1
ATOMID09,N2,1
RELEASE_DATE,N1,0
StockAct,N2,1
OSTA,N3,2
number_city_affected,N1,0
PRICE_IN_DOLLAR,N1,0
IGE18,N3,2
KeyFld_4,N3,2
chrctrstcs,N2,1
isactived,N2,1
LSTEVLDATE,N2,1
investor,N1,0
coupon_id,N1,0
prereq,N1,0
por26,N3,2
EXPENSESLC,N2,1
ACCREDITATION_TYPE,N1,0
service_details,N1,0
SURNAME,N1,0
dfltvat,N3,2
LineTotalF,N2,1
province,N1,0
SAVINGS,N1,0
AMR1,N3,2
aht1,N3,2
ATOMID10,N2,1
opft,N3,2
paymethcod,N2,1
REGTYPE,N2,1
SatEnabled,N2,1
CATID,N2,1
scientists,N1,0
childseat,N1,0
CREATEDBY,N1,0
PARTY_FORMS,N1,0
ERRSCREEN,N2,1
NUMREPARS,N2,1
Famous_Title,N1,0
ICD9,N3,2
DashbdCode,N2,1
engineturbo,N1,0
THRESHOLD,N1,0
responder,N1,0
DDTKEY,N3,2
LFBSheetD,N2,1
PURCHOFSAC,N2,1
BAGLOCATION,N1,0
Uom,N3,2
osec,N3,2
AmountSC,N2,1
SrqAbs,N3,2
ACPA1,N3,2
Track,N1,0
rdoc,N3,2
ToTitle,N2,1
flowlinec_shape_index,N1,0
PymCshDsct,N3,2
IsHighPrecision,N1,0
PLANTSTATE,N1,0
frpm,N3,2
BAGDVBES,N3,2
ATTNUM,N2,1
fiscdocnum,N2,1
TAXACCT,N2,1
CPRC,N3,2
other_property_details,N1,0
HIDEVAL,N2,1
SourceFeatureID,N1,0
document_code,N1,0
DIRECTDBT,N2,1
Dflt,N3,2
ValNumber,N2,1
isw2,N3,2
COMPANYVER,N2,1
VATBLCKSC,N3,2
reply,N1,0
vattotalsc,N3,2
CondVal,N2,1
TBLNHDWB_303D,N3,2
ohem,N3,2
DfltDunTrm,N3,2
SFC10,N3,2
EXPREF11,N3,2
ENDFLIBAN,N3,2
master_customer_id,N1,0
altsrtcodt,N2,1
PrftCntFe4,N3,2
UPDATETIME,N1,0
CountryNotes,N1,0
CRD1,N3,2
ocdp,N3,2
OBJECTC9,N3,2
Compact_be_exit,N2,1
writeupdur,N2,1
CheckBox15,N1,0
asrn,N3,2
CertBKeep,N2,1
DPI22,N3,2
state_designation_level,N1,0
cnperson,N2,1
OBBranch,N2,1
TEMPLATE,N1,0
ffg,N3,2
EnbZeroDec,N2,1
PrjCode,N2,1
eninsurnum,N2,1
sheep_and_goats,N1,0
datsubkey2,N2,1
ocla,N3,2
CPI22,N3,2
AIN9,N3,2
FROMSUM,N1,0
custrate,N2,1
IMPLANTFUS,N3,2
VISITOR,N1,0
region,N1,0
companysta,N2,1
TREEID,N2,1
startfrom,N1,0
POSERIES,N2,1
business_categories,N1,0
EDOCCNTNT,N2,1
assignedby,N1,0
mrvadjust,N2,1
Previous_Long,N2,1
Month9,N1,0
scl7,N3,2
TRAINED_IN,N1,0
USEDLN,N3,2
checkbox34,N1,0
Residents_Services,N1,0
SRCTABLE,N2,1
dgp4,N3,2
TAXSTATE,N1,0
AmntPdR,N3,2
ADDRESSTYPE,N1,0
OPERATIONALSTATUS,N1,0
ACCESSKEY,N1,0
linepoprss,N2,1
plays_games,N1,0
opoi,N3,2
SALPACKMSR,N2,1
PROFITS_BILLION,N1,0
USED_KB,N2,1
Benthos_SampleArea_m2,N2,1
udqop,N3,2
spdpr1,N3,2
student_course_enrolment,N1,0
SendIntrnl,N2,1
finncpriod,N2,1
university_year,N1,0
IsItem,N1,0
NOTES2,N1,0
Injury,N1,0
AgrNoFrom,N2,1
pdf3,N3,2
RELCAP3,N3,2
TimeFormat,N1,0
HscBAmtFC,N3,2
MATCHNUM,N1,0
Block,N1,0
DebAmnt1,N2,1
RDN21,N3,2
district,N1,0
DpstType,N2,1
THIRD_PARTY_COMPANIES,N1,0
EnFollowup,N2,1
abundanceid,N1,0
INDFINAL,N2,1
SCHOOLS,N1,0
lsthndlmsg,N2,1
ADO5,N3,2
JVBATCHNUM,N2,1
negpymacct,N2,1
isnegmark,N2,1
party_events,N1,0
RevdObjTyp,N2,1
pqt1,N3,2
ORIBLINNUM,N2,1
sourcetext,N1,0
TargetGrp,N2,1
DNotesBal,N3,2
MaxSumSys,N2,1
VACPREYEAR,N2,1
querycol,N2,1
NHDPOINTEVENTFC,N2,1
diotrpt,N3,2
HscAmntSC,N3,2
SalFactor1,N2,1
LINKACT_5,N2,1
CSV1,N3,2
OTHAMNTDUE,N2,1
RECORDID,N1,0
TEAM_ID_RETRO,N1,0
RPRT1099,N3,2
TeamUomQty,N2,1
ValidForAP,N2,1
ado23,N3,2
tlu_Tree_Cond,N2,1
TLUSAMPLEZONE,N2,1
SATSTART,N2,1
LINENUM,N2,1
RVSPAIDSC,N3,2
OTRO,N3,2
MAXGY,N2,1
AltVal,N2,1
SupportUsr,N2,1
CompCntry,N2,1
TotalSys,N2,1
INCLASSCAT,N2,1
PQT6,N3,2
ISMEMBER,N1,0
notifyrqr,N2,1
targetentr,N2,1
edType,N2,1
SlpCode,N2,1
licensee,N1,0
one_meter,N1,0
tbl_BenthicSpeciesReferenceVials,N1,0
CUSTPROC,N2,1
ORDER,N1,0
acctvarar,N3,2
RAILWAY_ID,N1,0
ENBDECWORD,N3,2
REGCONTACT2_ALT,N2,1
PRR7,N3,2
ServerName,N1,0
IGE22,N3,2
CondCase,N2,1
V_Compress,N2,1
SELLERNAME,N1,0
cancel,N1,0
bool,N2,1
WIPACTCODE,N2,1
appsubline,N2,1
qrygroup63,N2,1
TINNO,N2,1
Serie,N1,0
KeyValue5,N1,0
DpstAbs,N3,2
pointnumber,N1,0
MIN1099AMT,N2,1
qwz1,N3,2
PAReturnAc,N3,2
cntrctype,N2,1
tlu_Yes_No,N2,1
rescode,N2,1
APID,N2,1
SERBTCHNUM,N2,1
KEYCODE,N1,0
registered,N1,0
Tel2,N2,1
bfretry,N2,1
GROUPTRANS,N2,1
SuppUnit,N2,1
pkfield5,N3,2
DAY_NUMBER,N1,0
costval4,N2,1
SalesOrderDetail,N1,0
BODYTYPE,N1,0
CHECKBOX7,N1,0
RateTrans,N2,1
sourceairport,N1,0
ETHNICITY,N1,0
UNSCHESTTI,N3,2
cin18,N3,2
CnclDps,N3,2
UniqueID,N1,0
gpc1,N3,2
Music_Festival,N1,0
pymdocamnt,N2,1
DpmDocEntr,N2,1
MINUTES,N1,0
PymDocAmnt,N2,1
RevOffice,N2,1
SNBSYSNUM,N2,1
DTDOC,N3,2
EditInEXP,N2,1
ErrDisc,N2,1
OCCONTACT,N2,1
tempdesc,N2,1
KeyFld_1,N3,2
GSTRelevt,N3,2
BASEAPLDFC,N2,1
MacroInvert_DPL,N2,1
isdfportim,N3,2
rootbeer,N1,0
departmentid,N1,0
ExpensesFC,N2,1
EqPercent,N2,1
TtlopnInFC,N3,2
PRODUCT_SUPPLIERS,N1,0
sgstrate,N3,2
objectc5,N3,2
FILENTRY,N2,1
StartFrom,N1,0
hght2unit,N2,1
FAA1,N3,2
calcfrml,N2,1
account,N1,0
rin16,N3,2
GSTCODE,N2,1
ApyBsActSP,N3,2
EXPREF2,N3,2
FromPeriod,N1,0
TPI1,N3,2
AttriTxt11,N3,2
invoiceNum,N2,1
basegroup,N1,0
dAltDprTyp,N3,2
DashbdPath,N2,1
dftype,N2,1
oebk,N3,2
MoveTo_2,N1,0
PMC6,N3,2
ContactLog,N1,0
TYPECODE,N1,0
ASPP,N3,2
Warehouse,N1,0
PYM1,N3,2
Param_6,N3,2
ResEntry,N2,1
reign,N1,0
chip_model,N1,0
costfc,N2,1
extra_runs,N1,0
UNITPRICTP,N2,1
FETAXCODE,N2,1
ORTW,N3,2
COMPETID,N2,1
tk2uomqty,N3,2
VATAPPLDSC,N3,2
editor,N1,0
oins,N3,2
parking_fines,N1,0
has_pet,N1,0
pwzabsentr,N3,2
SEAT,N1,0
SPLITTAXSC,N2,1
SERIES2,N1,0
ATOMID11,N2,1
SHS1,N3,2
ActBlncFrC,N3,2
TlVatAmn,N3,2
dfltactkey,N2,1
BGGreen,N2,1
SCL2COUNT,N3,2
levelpathid,N1,0
genre_is,N1,0
odgl,N3,2
AUTHFNAME,N2,1
rin21,N3,2
mascot,N1,0
frmfrnamnt,N3,2
CheckPmnt,N2,1
ADD_NAME,N1,0
WIN_STYLE,N2,1
TargetCode,N1,0
frmplace,N2,1
phone_brand_device_model2,N1,0
grosprofsy,N2,1
nodedsumsc,N2,1
OVERHANG_REAR,N1,0
PoPhAmt,N3,2
EDRMETHOD,N2,1
CPI28,N3,2
club_name,N1,0
STOCKVALUE,N1,0
splittran1,N2,1
TaxACNum,N2,1
TEMPC,N2,1
APPLEQSC,N2,1
Won,N1,0
qut25,N3,2
OP_8,N3,2
seriesin,N1,0
nhdfeaturetometadata,N2,1
wtaccamtar,N3,2
REF2DATE,N2,1
StepInfo,N1,0
ActionT,N2,1
RECONSUMSC,N2,1
QUT7,N3,2
WheelSizeRearIN,N2,1
clg1,N3,2
taasauturl,N2,1
claim_status_description,N1,0
DprTypID,N2,1
tluStage,N2,1
attriint37,N3,2
InvAmtAP,N3,2
chancecreationpassing,N1,0
notitype,N2,1
shipment_date,N1,0
OFLR,N3,2
POSTINVAT,N2,1
PCH26,N3,2
SIMREPORT,N2,1
dbreducper,N2,1
complaint_status_code,N1,0
pycshdscfc,N3,2
ASGP,N3,2
fuel,N1,0
DeList,N1,0
IRD1,N3,2
PQT24,N3,2
ChallanDat,N2,1
docamntfc,N3,2
g_all,N3,2
property_type_code,N1,0
CUSTOMER_POLICIES,N1,0
FORWARDCOLLISIONWARNINGID,N1,0
NEIGHBOURHOOD,N1,0
Captain_ID,N1,0
delist,N1,0
recamnt,N2,1
PRODUCTCOSTHISTORY,N1,0
msg,N2,1
Trail,N1,0
hscrate,N3,2
PostOffBnk,N2,1
ISSUBMASUN,N3,2
OPENFORLAC,N2,1
taxadjrep,N2,1
KEYNAME,N1,0
tbl_transect,N2,1
Addr4_3p,N2,1
prftcent3,N3,2
OLDREACHDATE,N1,0
ItmPlnNum,N2,1
APIGSTACC,N3,2
dflbnkkey,N2,1
written_by,N1,0
modelid,N1,0
FileExport,N1,0
Date_in_Locaton_To,N1,0
compnytype,N1,0
STINT,N1,0
SnBIndex,N3,2
LNTOTAL,N2,1
ebk1,N3,2
taxctgrbl,N3,2
FromDoc3Nu,N2,1
SFI26,N3,2
ExportType,N1,0
BIRTH_DAY,N1,0
BASELOGENT,N2,1
utx1,N3,2
ACR12,N3,2
WFID,N3,2
Properties,N1,0
EBVATCATEG,N3,2
ratingDate,N1,0
CONTACTS,N1,0
DMCALIAS,N3,2
council_tax_id,N1,0
HMM2,N3,2
wrestler,N1,0
COVERCLASS_NUM,N2,1
park,N1,0
taxpostacc,N2,1
Member_ID,N1,0
CIRCUITID,N1,0
ApyPRinAT,N3,2
refresh,N1,0
AddChecked,N1,0
chanceCreationPositioningClass,N1,0
Y,N3,2
snbdfltsb,N3,2
AddQuantit,N2,1
MobDesc,N2,1
fileext,N2,1
approvedby,N1,0
vatpercent,N2,1
locmantran,N2,1
RCR2,N3,2
PRR22,N3,2
fld_feature_1,N2,1
TaxIdNum3,N2,1
ActBaseLn,N2,1
tbl303d,N3,2
headquartered_city,N1,0
DECAY,N1,0
ATTRGRP,N2,1
REVIEW,N1,0
CheckBox34,N1,0
workCounty,N1,0
VNDNAMECEE,N3,2
DLLENTRY,N2,1
Detention,N1,0
ewbgentype,N2,1
schools,N1,0
aclg,N3,2
UDFTable_5,N3,2
agrnoto,N2,1
VACCURYEAR,N2,1
ToDocType,N2,1
edoccntnt,N2,1
countyf,N2,1
APM8,N3,2
JKWGT18,N3,2
ObjId,N2,1
PCH26,N3,2
LaCAllcAcc,N2,1
coach,N1,0
VlIcmsSc,N3,2
OverwrFinS,N2,1
PQT25,N3,2
queryid,N1,0
QUT14,N3,2
SURAMNTFC,N3,2
MENUTYPE,N1,0
MatchNum,N1,0
ATTR5VAL,N3,2
UDFALIAS1,N3,2
INVESTED,N1,0
DLN4,N3,2
certbkeep,N2,1
usrnumber3,N2,1
USERGIGN,N2,1
date_in_locaton_to,N1,0
AIRBAGLOCSEATCUSHION,N2,1
BINATTR2TO,N3,2
Mission_ID,N1,0
Sort2Up,N1,0
IncGRandDL,N3,2
BASEQUT,N2,1
CS,N3,2
CONTESTANT_NAME,N1,0
user,N1,0
APP_LABELS,N1,0
ASC5,N3,2
stacode,N2,1
objectc26,N3,2
WHEELSIZEFRONTIN,N2,1
onoa,N3,2
residents_per_officer,N1,0
commissum,N2,1
dflswift,N3,2
CHECKBOX18,N1,0
PQTREQQTY,N3,2
TrandReduc,N2,1
oind,N3,2
ISTEMP,N2,1
dar4,N3,2
csv28,N3,2
TMP_JE,N3,2
SONG_ID,N1,0
exptype,N2,1
VATJENUM,N3,2
player_college,N1,0
PubDate,N2,1
PRODUCT_DETAILS,N1,0
stint,N1,0
INCOMEFC,N2,1
UseLife,N1,0
toidc,N3,2
DPI28,N3,2
WHL3,N3,2
ChfAcc,N3,2
csgstbamtf,N3,2
kpivalue28,N3,2
CHECKSBALL,N2,1
ENAPWTLNMX,N3,2
SecLevel,N2,1
ActBaseEnt,N2,1
employer_organisation_id,N1,0
EXPNAME,N2,1
OSEL,N3,2
EMPRSSCNTR,N3,2
PREDPCTSCLV,N3,2
ASP1,N3,2
CSI6,N3,2
aptime,N2,1
ShowSCN,N3,2
blockexprt,N2,1
SOI4,N3,2
ISPRSCGOOD,N3,2
perbqty,N2,1
JKWGT27,N3,2
characteristic_type_code,N1,0
itm1,N3,2
HOSPGCS,N3,2
PAYMETHCOD,N2,1
OTRX,N3,2
CgstAcc,N3,2
OcrCode5,N3,2
DFLTPLSEL,N3,2
Bind,N1,0
actrevcncl,N2,1
POSRcptNo,N2,1
n_1_estatus,N2,1
ENBMBFILT,N3,2
UNPAIDBOE,N2,1
equvatsums,N3,2
CessBAmtFC,N3,2
hbi,N3,2
NEEDED,N1,0
ChkHash,N2,1
GroupMask,N1,0
NOTREL4MI,N3,2
paramlogic,N2,1
acq2,N3,2
lowest_elevation,N1,0
CCDQUANT,N3,2
MAXOUTPCNT,N2,1
SrcTable,N2,1
binattr4f,N3,2
ADO20,N3,2
bisrbranch,N2,1
DocTaxAmnt,N2,1
BoeNumTo,N2,1
OBJID,N2,1
printsums,N1,0
targetfld,N2,1
COMPETITION,N1,0
INVTRANSID,N2,1
FieldsNum,N2,1
paybnkusr4,N2,1
FROMOBJECT,N1,0
SRCDOCENT,N2,1
showcash,N1,0
OIGW,N3,2
journal,N1,0
ORIREGCRY,N3,2
SSIExmpt,N2,1
ApprovNum,N2,1
AssignName,N1,0
APJ2,N3,2
taxrate,N1,0
ROPass,N2,1
RPC11,N3,2
coaches,N1,0
IGN13,N3,2
PARTICIPANT_ID,N1,0
BATTING,N1,0
UTMZONE,N2,1
ISRESIDENT,N2,1
WTInAPAct,N3,2
VEHICLES,N1,0
PyblAmntSC,N3,2
EXCREFDATE,N2,1
remainunit,N1,0
CALLCENTERLOGS,N1,0
pmg8,N3,2
rpd24,N3,2
WTLine,N2,1
REMAINDAYS,N1,0
MAINBPL,N2,1
PAYMWIZCOD,N2,1
RND_PLT_IN,N3,2
KEYSEG9,N3,2
pwz4,N3,2
comorboth,N2,1
wbleft,N3,2
ENCOMPASSES,N1,0
brakesystemtype,N1,0
JEINFATRAN,N3,2
SHOWLEGEND,N1,0
actual_delivery_date,N1,0
MINLEVEL,N2,1
dst_ap,N3,2
TxExMxVdTp,N3,2
EPA_DELISTED_DATE,N2,1
ndpercent,N2,1
JDTFixedF,N3,2
stgseqnum,N2,1
Dorm,N1,0
STARING_DATE,N1,0
PublishedTaxonLevel,N2,1
excbassum,N2,1
SourceText,N1,0
dob,N2,1
StckINMPr,N3,2
CHKDUPREF,N2,1
SUMDOCTOT,N2,1
attr7abs,N3,2
MAXGX,N2,1
SGSTRATE,N3,2
accstrem,N2,1
Supplier,N1,0
mdp3,N3,2
CredAcct1,N2,1
BUDGET_INVESTED_PERCENT,N1,0
research_staff,N1,0
Clusters,N1,0
VARRATE,N2,1
APH1,N3,2
designation_name,N1,0
StartYear,N1,0
ArgName,N2,1
attriint38,N3,2
missbehav,N2,1
region,N1,0
DPRDATE,N2,1
RelCap4,N3,2
BHeight1,N2,1
seatloc,N2,1
GRPPERIODS,N2,1
DFLTCARD,N2,1
OGDP,N3,2
rrr8,N3,2
amntpdd,N3,2
LINEDIRTY,N1,0
OCLA,N3,2
subpath,N1,0
POR15,N3,2
ASC3,N3,2
IPITaxCon,N3,2
AutoITW,N2,1
OCFT,N3,2
BillToDef,N2,1
original_romn_otu,N2,1
DocType,N2,1
area_code,N1,0
regname,N2,1
amntsc,N3,2
SPDPRPLAN,N3,2
cprc,N3,2
ENREJECT,N2,1
repphone,N2,1
priceprocm,N2,1
RDR16,N3,2
maxdepr,N2,1
ValidName,N1,0
CHKINDATE,N2,1
EnbSupplC,N3,2
IdexCode,N2,1
RDLANES,N3,2
defeseries,N2,1
Trap #,N1,0
agrno,N2,1
sideglaz,N2,1
bgtwarning,N2,1
num_of_employees,N1,0
tbl_Deadwood,N2,1
hght1unit,N2,1
EXCHRATE,N2,1
CPV19,N3,2
GTotalFC,N3,2
extdata,N2,1
DfltCard,N2,1
First_year,N1,0
isnatraexp,N3,2
OFLT,N3,2
intamnt,N2,1
INJSTATUS,N2,1
taxregime,N1,0
line,N1,0
rclflag,N2,1
vatexmprc,N3,2
DELIVRDQTY,N2,1
OCCURCODE,N2,1
SENDACCEPT,N1,0
qut21,N3,2
vendortype,N1,0
date_assigned_from,N1,0
AttriAm53,N3,2
other_product_service_details,N1,0
Claim_Outcome_Code,N1,0
OrdinalNum,N2,1
iei4,N3,2
EMPLOYEE,N1,0
DSC1,N3,2
stockoffst,N2,1
CREDITSUM,N2,1
movie_keywords,N1,0
Profits_in_Billion,N2,1
EXPNSTYPE,N2,1
BblWidth,N2,1
CPT1,N3,2
ExpnPrfFnd,N3,2
aec7,N3,2
IPCCONF1_ALT,N2,1
FldDate,N2,1
enzyme,N1,0
samplezone,N1,0
OKDPNUM,N3,2
IER1,N3,2
CSV16,N3,2
ismain,N1,0
FirstPrint,N1,0
csi3,N3,2
EntryCount,N1,0
Host_City,N1,0
SumMthCurr,N2,1
SUOMENTRY,N3,2
start_time,N1,0
isitem,N1,0
CINEMA_ID,N1,0
PROCESSORDER,N1,0
DIVISIONS,N1,0
numval1,N2,1
PRR19,N3,2
OrdDpr,N3,2
IPCCONF1,N3,2
taxstate,N1,0
notifemail,N2,1
finedate,N1,0
REVIEWDESC,N2,1
ILMEntry,N3,2
DLN26,N3,2
enacctnum,N2,1
serie5cb,N2,1
tsys_Bug_Reports,N2,1
enblfrnact,N3,2
ENTRAP,N2,1
certified,N1,0
chip_model,N1,0
por15,N3,2
ADRGTXIRPA,N3,2
DATE_LEFT_STAFF,N1,0
ohfc,N3,2
BoeCancIns,N2,1
extdocnum,N2,1
convdifact,N2,1
camera_lens_id,N1,0
rpc5,N3,2
STATE_LIST_ID,N2,1
IncVal,N2,1
CSI22,N3,2
SFI16,N3,2
IGE4,N3,2
icsno,N3,2
TransEnd,N2,1
USER_CHK6,N3,2
seqno,N2,1
DLN4,N3,2
competition_type,N1,0
SOURCE_SYSTEM_CODE,N1,0
Template,N1,0
TOURIST_DETAILS,N1,0
EXEPCUAMNT,N3,2
imt1,N3,2
ActuToDate,N2,1
ITEMUID,N2,1
parent_entry_id,N1,0
PlVatAmtLC,N3,2
qrygroup1,N2,1
DOC3TYPE,N2,1
confirmed2,N1,0
pmnttype,N2,1
ENGINEER_VISIT_ID,N1,0
wtq15,N3,2
Toss_Decision,N1,0
reshtml,N2,1
AIN5,N3,2
ref_address_types,N1,0
AUTOISSMTD,N2,1
rpc25,N3,2
store_phone,N1,0
ADDRESS_CONTENT,N1,0
DomFrgID,N3,2
dim1relvnt,N2,1
SSINAME,N2,1
LOADPATH_3RD,N1,0
SAPLINGS_ID,N1,0
takes,N1,0
CheckBox27,N1,0
DoMngMth,N3,2
gbipath,N2,1
CnsdVendor,N2,1
WTPostedSC,N3,2
PDF8,N3,2
RepDate1,N2,1
domain_author,N1,0
PtfNum,N3,2
msgdetails,N2,1
ach3,N3,2
subgenus,N1,0
OrigTable,N2,1
CSI6,N3,2
CreateTran,N2,1
songs,N1,0
TCDTYPE,N2,1
TBL_BENTHICSPECIESROMNXBIODATA,N1,0
countryb,N2,1
countqty,N2,1
edformat,N2,1
BIRTHSTATE,N1,0
SERIALNOT,N2,1
COURSE_ID,N1,0
SPAN_LAST,N1,0
PAUTODUEDT,N2,1
SmtpEncode,N2,1
ChItmSerie,N2,1
PRQ26,N3,2
otpi,N3,2
BPNameOW,N3,2
OSVT,N3,2
FACILITY_CODE,N1,0
POR25,N3,2
PHENOLOGY,N1,0
AHF2,N3,2
matches,N1,0
EventDataRecorderId,N1,0
DRIVETYPEID,N1,0
TUESDAY,N1,0
augp,N3,2
KpiValue10,N3,2
pqt24,N3,2
FINALSUM,N1,0
CSI20,N3,2
BDATE,N2,1
WCollDisc,N2,1
job_title,N1,0
mdr1,N3,2
EnblSPEDUF,N3,2
TAASVATSUM,N2,1
DSPLYRATES,N2,1
ocrto3,N3,2
displymenu,N2,1
EDocMapID,N2,1
TOTCREDIT,N2,1
tpmsid,N3,2
IMPLOGFROM,N2,1
IsDigSerie,N2,1
autoreswhs,N2,1
FIX_DATE,N1,0
KPIVALUE12,N3,2
diffpercen,N2,1
CRDBLNC,N3,2
tnved,N3,2
free_1,N1,0
TermCode,N1,0
ORDRSTATUS,N2,1
RemIntrst,N2,1
Shape,N1,0
obesity,N1,0
gtsmaxamt,N2,1
QRMAXSIZE,N2,1
days_held,N1,0
VALUE,N1,0
typeID,N1,0
EnInsurNum,N2,1
ENT1,N3,2
SupNum,N2,1
PickedQty,N2,1
SerialNoT,N2,1
TRACK,N1,0
itemcurr,N2,1
CLAIM_STATUS_DESCRIPTION,N1,0
credit_score,N1,0
DUNFEE,N2,1
dunaddr,N2,1
OSVCCODE,N3,2
FILM_ACTOR,N1,0
CONSOLIDAT,N2,1
TOPO_POSITION,N2,1
RepLegal,N2,1
ATTRIBUTE,N1,0
class_a,N2,1
IsHConEnv,N2,1
paybnkuic,N3,2
SCHOOL_PERFORMANCE,N1,0
expdsagree,N2,1
WBLEFT,N3,2
bfnetdcnt,N2,1
BAL2,N3,2
tolerdays,N2,1
iqi1,N3,2
ELECTRONICSTABILITYCONTROL,N1,0
COMPVALUE,N2,1
updateby,N1,0
decoration_theme,N1,0
Director,N1,0
Num_of_Audience,N1,0
PUoMEntry,N2,1
ENBLTAXINV,N3,2
EndDlvTime,N2,1
Species Code,N1,0
wtcategory,N2,1
DUMMYSIG,N2,1
ImpLogFrom,N2,1
Templates,N1,0
LINEPRJCOD,N2,1
enpacking,N2,1
ATTACHPDF,N2,1
yeardays,N1,0
PROF_NUM,N2,1
Batting_Style,N1,0
AuthPwd,N2,1
CHANNEL,N1,0
delreason,N1,0
If_full_time,N1,0
bandmate,N1,0
PrcstVal,N3,2
ADDRFROM,N2,1
basegrpnum,N2,1
one_half_meter,N1,0
obob,N3,2
Note,N1,0
OWVG,N3,2
TO_M,N3,2
remaindays,N1,0
IssuedQty,N1,0
WEEKS_ON_TOP,N1,0
APM4,N3,2
SRCARRTYPE,N2,1
HeaInsType,N2,1
DEPOSITED,N1,0
UIORDER,N2,1
custterm,N2,1
Conductivity,N1,0
ROLLDIST,N2,1
MinAmntBOE,N3,2
ItmRef2,N2,1
eseries,N2,1
DocBillDt,N2,1
DeltaAccT,N2,1
CHECKING,N1,0
month8,N1,0
AEXD,N3,2
SUPERHERO,N1,0
RELATIONSHIPTOSURFACE,N1,0
UndrpayAP,N3,2
winner_hand,N1,0
cmpname,N2,1
wine,N1,0
revaldate,N2,1
incidents,N1,0
ValDomAcct,N2,1
OP_2,N3,2
Undergraduate,N1,0
docstatus,N2,1
ModelId,N1,0
itm5,N3,2
friday,N1,0
huc16,N3,2
SEATING,N1,0
INJURY,N1,0
ISFIXEDAMT,N2,1
APPLGROSSS,N2,1
LaborItem,N1,0
docprcrate,N2,1
WedEnabled,N1,0
PROFTAX,N2,1
RTTSTAMP,N2,1
extrmatch,N2,1
INFO1FIELD,N1,0
no_payment_due,N1,0
venueId,N1,0
BlobCntTyp,N2,1
PLAYLIST,N1,0
UWOR3,N3,2
P6,N3,2
COMPETITION_ID,N1,0
SPP1,N3,2
ISOILMUPD,N3,2
ISTAFORMI,N3,2
Trim,N1,0
DECLNUM,N2,1
app_id,N2,1
ITL1,N3,2
OSTQ,N3,2
drblock2,N3,2
AssetDate,N1,0
itmcommuse,N2,1
actcustom,N2,1
LINDEX,N2,1
RAIN,N1,0
VAT1,N2,1
AREA,N1,0
ospg,N3,2
SUPPLUNIT,N2,1
obdc,N3,2
PARAMTYPE,N2,1
autoasnbpl,N2,1
ACTENV,N2,1
STCKAPPDFC,N3,2
VATAPPLIED,N2,1
BISRBNKCD,N3,2
OFRM,N3,2
TRGTYPE,N2,1
DATE_VALID_FROM,N1,0
source_u_id,N2,1
IS_OPEN,N1,0
DLN25,N3,2
OBJSUBTYPE,N2,1
xrobj,N3,2
treatment_type_code,N1,0
WIND,N1,0
ACRC,N3,2
QryGroup29,N2,1
PurchTax,N2,1
ShowWebTil,N2,1
transamtsc,N2,1
trs1,N3,2
trandate,N2,1
WTHRmbrsd,N3,2
IsItalic,N1,0
BASESUMSYS,N2,1
dpstabs,N3,2
csi18,N3,2
OPFT,N3,2
AWO2,N3,2
enupdbapln,N3,2
OQRC,N3,2
ACCORDING,N1,0
costval5,N2,1
Q1,N3,2
incact,N3,2
impdocnum,N2,1
OTHER_PRODUCT_DETAILS,N1,0
rcptlineid,N2,1
