prompt,completion
Site_End_X +^+^$^++$+,N1
Site_End_Y +^+^$^++$+,N1
Site_Notes +^+^$+^+^+,N1
Site_Start_Y +^+^$++^++$+,N1
Slide_Position ++^+^$+^+^+^^+,N1
Slope_Var ++^+^$+^+,N2
Slope_shape ++^+^$++^+^,N1
SnakeID ++^+^^+,N1
Soil_Dist +^^+$+^++,N2
SortID +^++^+,N1
Sort_Order +^++$^++^+,N1
Source +^^++^,N1
SpCode +++^+^,N2
SpeciesCode ++^+^^++^+^,N1
Species_Code ++^+^^+$+^+^,N1
Stage ++^+^,N1
StageCode ++^+^+^+^,N1
StartLat ++^+++^+,N2
StartLon ++^+++^+,N2
StartTime ++^+++^+^,N1
StartUTMX ++^++^+++,N3
Start_Time ++^++$+^+^,N1
State_Code ++^+^$+^+^,N1
Station ++^+^^+,N1
StatusDetails ++^+^++^+^^++,N1
SteeringLocation ++^^+^+++^+^+^^+,N1
StopLat ++^++^+,N2
StopUTMX ++^+^+++,N2
StopUTMY ++^+^+++,N2
Subfamily +^++^+^++,N1
Subgenus +^++^+^+,N1
Suborder +^+^++^+,N1
Subphylum +^+++++^+,N1
Subspecies +^+++^+^^+,N1
Substrate Temperature +^++++^+^*+^++^+^+^+^,N1
SumOfCount +^+^++^^++,N1
Superclass +^+^+++^++,N1
Superorder +^+^+^++^+,N1
SurfaceWater +^++^+^+^+^+,N1
Survey +^++^+,N1
TETHERDESIGN +^++^++^+^++,N1
TIRELOC +^+^+^+,N2
TIREMODEL +^+^+^+^+,N1
TIRESIZE +^+^+^+^,N1
TIRETREAD +^+^++^^+,N1
TOWED +^+^+,N1
TOWHITCH +^++^+++,N1
TPMS ++++,N3
TPMSId ++++^+,N3
TRACK ++^++,N1
TRAFFUNCT ++^++^+++,N3
TRAJDOC ++^++^+,N2
TRANSMISSION ++^+++^++^^+,N1
TREEPOLE ++^^+^+^,N2
TSN +++,N3
Table +^++^,N1
Tag +^+,N1
Tag# +^+*,N1
TanypodPctScP +^+++^+++++++,N3
Taxon +^+^+,N2
TaxonRhithron +^+^+++^+++^+,N2
TaxonVersionNumber +^+^++^++^^++^++^+,N2
TempC +^+++,N2
TopSpeedMPH +^+++^^++++,N2
TrackWidthIN ++^+++^+++^+,N2
TractionControl ++^++^^++^+++^+,N1
TractionControlId ++^++^^++^+++^+^+,N1
Transect_Type ++^++^++$+++^,N1
TransmissionSpeeds ++^+++^++^^+++^^++,N1
TransmissionStyle ++^+++^++^^+++++^,N1
TransmissionStyleId ++^+++^++^^+++++^^+,N1
Trap Type ++^+*+++^,N1
TreeCond_Num ++^^+^++$+^+,N2
TreeCond_Text ++^^+^++$+^++,N2
TreeTag ++^^+^+,N1
Tree_Tag_ID ++^^$+^+$^+,N2
Tribe ++^+^,N1
Trim2 ++^+#,N1
TripReport ++^++^+^++,N1
TruckBodyCabTypeId ++^+++^+++^++++^^+,N1
Type +++^,N1
UEW ^^+,N3
UTMX ^+++,N3
UTMY ^+++,N3
Understory_Comp ^++^+++^++$+^++,N1
Unique ^+^+^^,N1
Unpaved ^++^+^+,N1
Update_By ^++^+^$++,N1
Update_Comments ^++^+^$+^++^+++,N1
Update_Date ^++^+^$+^+^,N1
Update_ID ^++^+^$^+,N1
Updated_By ^++^+^+$++,N1
Updated_by ^++^+^+$++,N1
Updated_notes ^++^+^+$+^+^+,N1
UtmZone ^+++^+^,N2
VEHCLASS +^+++^++,N2
VEHICLES +^+^++^+,N1
VEHNO +^++^,N2
VEHNUM +^++^+,N2
VERSION +^++^^+,N1
VERTDOOR +^+++^^+,N2
VERTROOF +^+++^^+,N2
VIN +^+,N3
VINDecodeError +^++^+^+^^++^+,N2
VINLENGTH +^++^++++,N2
VPICMODEL ++^++^+^+,N3
VTREAT +++^^+,N2
ValidName +^+^++^+^,N1
Value +^+^^,N1
Value_New +^+^^$+^+,N1
Value_Old +^+^^$^++,N1
Variety +^+^^++,N1
VegHeight +^++^^+++,N2
VehicleDescriptor +^+^++^+^+++^++^+,N1
Verified +^+^+^^+,N1
Verified_by +^+^+^^+$++,N1
Verified_date +^+^+^^+$+^+^,N1
Verify_links_startup +^+^++$+^+++$++^++^+,N1
Version_number +^++^^+$+^++^+,N1
Vial_Position +^^+$+^+^+^^+,N1
WARNLAMP +^+++^++,N2
WBRIGHT +++^+++,N3
WEATHER +^^++^+,N1
WEIGHT +^^+++,N1
WHEELBASE ++^^++^+^,N1
WORKDAYS +^+++^++,N1
WaterTemp +^+^++^++,N2
Watershed +^+^+++^+,N1
Weather +^^++^+,N1
Weedy +^^++,N1
WheelSizeFrontIN ++^^++^+^++^++^+,N2
WheelSizeRearIN ++^^++^+^+^^+^+,N2
WheelsCount ++^^+++^^++,N1
Wind +^++,N1
WindCode +^+++^+^,N1
Windows +^++^++,N1
Windstorm +^++++^++,N1
Witness_Azimuth +^++^++$^+^+^++,N1
Witness_stake +^++^++$++^+^,N1
WoodyDebris +^^+++^++^+,N1
WorkPhone +^++++^+^,N1
X_Coord +$+^^++,N2
X_coord +$+^^++,N2
Y_coord +$+^^++,N2
Y_orig +$^+^+,N3
ZIP +^+,N1
ZipCode +^++^+^,N1
Zip_Code +^+$+^+^,N1
diagram_id +^^++^+$^+,N1
hasBenthos_MMI_OE +^++^+++^+$++^$^^,N2
hasBenthos_Metric +^++^+++^+$+^++^+,N1
hasPeriphyton_ChlorAFDM +^++^+^++++^+$+++^+^+++,N2
hasPeriphyton_ChlorAFDMQAQC +^++^+^++++^+$+++^+^++++^++,N2
hasPeriphyton_DF +^++^+^++++^+$++,N2
hasPeriphyton_Metric +^++^+^++++^+$+^++^+,N1
hasWaterKiowa +^++^+^++^^+^,N1
hasWaterNRSA +^++^+^++++^,N2
notes +^+^+,N1
number killed +^++^+*+^++^+,N1
oldPlot ^++++^+,N1
pH ++,N2
principal_id ++^++^+^+$^+,N1
subgenus +^++^+^+,N1
times +^+^+,N1
utmE ^++^,N3
version +^++^^+,N1
AVOID ^+^^+,N2
CHILDSEAT ++^+++^^+,N2
Class ++^++,N2
EDRCOLLECT ^+++^++^++,N2
EDREVENT ^++^+^++,N2
EDRPOSTCRASH ^+++^++++^++,N2
EDRREST ^+++^++,N3
EDRSUMM ^+++^++,N2
EMSCARE ^+++^+^,N2
EVENT ^+^++,N2
FIRE +^+^,N2
FUEL +^^+,N2
GLAZING ++^+^++,N2
GV ++,N2
INJURY ^++^++,N2
Invert Order ^++^++*^++^+,N1
JKCOEFF +++^^++,N2
LOCALIZER +^+^+^+^+,N2
Month +^+++,N2
OCC ^++,N2
OCCONTACT ^++^++^++,N2
Observer_LU ^++^++^+$+^,N2
PRE_FHE ++^$++^,N2
Query1 +^^++#,N1
Roadkill +^^++^++,N1
SEAT +^^+,N2
SUMMARY_BenthosOE_Events +^++^++$+^+++^+^^$^+^+++,N2
SUMMARY_Benthos_MetricsStacked_Events +^++^++$+^+++^+$+^++^++++^++^+$^+^+++,N2
SUMMARY_Benthos_Taxa_List_ROMN_Only +^++^++$+^+++^+$+^+^$+^++$+^++$^+++,N2
SUMMARY_Benthos_Taxa_List_ROMN_w_Rhithron +^++^++$+^+++^+$+^+^$+^++$+^++$+$++^+++^+,N2
VEHMEAS +^++^^+,N2
VEHSPEC +^+++^+,N2
VPICDECODE ++^++^+^+^,N2
WILDLIFE MASTERLIST +^+++^+^*+^++^++^++,N1
Xwalk_Benthos_Parameter ++^++$+^+++^+$+^+^+^+^+,N1
sysdiagrams ++++^^++^++,N1
tblCultivation_LU ++++^++^+^+^^+$+^,N2
tblFieldDataAmphibianCallCounts ++++^^+++^+^^+++^+^^++^+++^^+++,N2
tblFieldDataAmphibianEggMassCounts ++++^^+++^+^^+++^+^^+^+++^+++^^+++,N2
tblFieldDataCoverBoard ++++^^+++^+^+^+^++^^++,N2
tblFieldDataDriftFenceSurveys ++++^^+++^+^++^+++^++^+^++^++,N2
tblFieldDataTurtleMeasurements ++++^^+++^+^+^+++^+^^+^+^+^+++,N1
tblFieldDataTurtleTrapSurveys ++++^^+++^+^+^+++^++^++^++^++,N2
tblFieldDataWaterProperties ++++^^+++^+^+^+^+++^+^++^^+,N2
tbl_BenthicLabMetadata +++$+^+++^++^++^+^+^+^,N2
tbl_BenthicMetrics +++$+^+++^++^++^++,N2
tbl_BenthicSpeciesROMNXBioData +++$+^+++^+++^+^^++^++++^^+^+^,N2
tbl_BenthicSpeciesReferenceSlides +++$+^+++^+++^+^^++^+^+^++^++^+^+,N2
tbl_BenthicSpeciesReferenceVials +++$+^+++^+++^+^^++^+^+^++^+^^++,N1
tbl_BenthicSpeciesRhithronXBioData +++$+^+++^+++^+^^+++^+++^+++^^+^+^,N1
tbl_BenthicSpeciesRhithronXROMN +++$+^+++^+++^+^^+++^+++^+++^++,N2
tbl_Db_Meta +++$++$+^+^,N2
tbl_Density +++$+^++^++,N1
tbl_Edit_Log +++$^+^+$+^+,N1
tbl_EventNameOld_Legacy +++$^+^+++^+^^++$+^+^++,N2
tbl_Events +++$^+^+++,N2
tbl_Locations +++$+^+^+^^++,N2
tbl_MicroHabitat +++$+^++^+^+^+^+,N2
tbl_Observations +++$^++^++^+^^++,N1
tbl_Overstory +++$^+^+++^++,N2
tbl_Plot +++$++^+,N2
tbl_Saplings +++$+^++^+++,N2
tbl_Sites +++$+^+^+,N2
tbl_Stations +++$++^+^^++,N2
tbl_WitnessTrees +++$+^++^++++^^+,N2
tlinkObservers ++^++^++^++^++,N2
tluBehavior ++^+^+^+^^+,N1
tluCallIndex ++^+^++^++^+,N1
tluCaptureMethod ++^+^++^+^+^++^+,N1
tluEggMassStages ++^^+++^++++^+^+,N1
tluHabitat ++^+^+^+^+,N2
tluMicroHabitat ++^+^++^+^+^+^+,N2
tluParkCode ++^+^+++^+^,N1
tluProject ++^++^+^++,N1
tluSampleZone ++^+^+++^+^+^,N1
tluSpecies ++^++^+^^+,N2
tlu_BenthicSpeciesBioData ++^$+^+++^+++^+^^++^^+^+^,N2
tlu_BenthicSpeciesROMN ++^$+^+++^+++^+^^++^++,N2
tlu_BenthicSpeciesRhrithron ++^$+^+++^+++^+^^++++^+++^+,N2
tlu_DataAccessLevel ++^$+^+^^++^+++^+^+,N1
tlu_DataProcessingLevel ++^$+^+^++^+^++^+++^+^+,N1
tlu_DecayStage ++^$+^+^+++^+^,N2
tlu_PlantSpecies ++^$++^++++^+^^+,N2
tlu_Presence ++^$++^+^++^,N2
tlu_R1_RestOfPlot ++^$+#$+^++^+++^+,N2
tlu_Slope_Shape ++^$++^+^$++^+^,N1
tlu_Species ++^$++^+^^+,N2
tlu_Species_CRLA ++^$++^+^^+$+++^,N2
tlu_Species_LABE ++^$++^+^^+$+^+^,N2
tlu_Species_ORCA ++^$++^+^^+$^++^,N2
tlu_Species_REDW ++^$++^+^^+$+^++,N2
tlu_Species_WHIS ++^$++^+^^+$++^+,N2
tlu_topo_position ++^$+^+^$+^+^+^^+,N2
tsys_App_Releases ++++$^++$+^+^^+^+,N2
xref_Species_Alternate_Names ++^+$++^+^^+$^++^++^+^$+^+^+,N1
